;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
707;M;75;19480509;Luxembourg;Remich;Canton Remich;0.0;194805091682*;white;gray;medium;Simon;Meyer
708;F;22;20010208;Luxembourg;Vianden;Canton Vianden;4539.0;200102085437*;white;red;short;Hortense;Valentin
709;F;65;19580214;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195802146993*;white;black;medium;Jana;Renard
710;M;47;19760214;Portugal;Rambrouch;Canton Redange;9046.0;197602144348*;white;black;medium;Enzo;Pereira
711;M;47;19760723;Luxembourg;Mertzig;Canton Diekirch;8242.0;197607237730*;black;brown;short;Louis;Courtois
712;F;76;19471015;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194710158814*;white;gray;long;Charlotte;Delmas
713;F;76;19470423;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194704234778*;black;gray;short;Alix;Vlaeminck
714;M;40;19830726;France;Esch-sur-Sûre;Canton Wiltz;2524.0;198307269388*;white;blond;short;Aimé;Bourdon
715;M;30;19930917;Luxembourg;Sanem;Canton Esch;10642.0;199309172800*;white;black;long;Maarten;Vidal
716;F;24;19990602;France;Mersch;Canton Mersch;1555.0;199906025596*;white;black;long;Martine;Pascal
717;F;57;19660709;France;Leudelange;Canton Esch;5483.0;196607096377*;white;black;short;Astrid;Renault
718;M;45;19781009;Luxembourg;Clervaux;Canton Clervaux;3979.0;197810097957*;white;brown;medium;Étienne;Renault
719;M;30;19930314;Portugal;Luxembourg;Canton Luxembourg;24960.0;199303145937*;white;black;short;David;Azevedo
720;F;70;19530418;Luxembourg;Mersch;Canton Mersch;0.0;195304185922*;white;gray;long;Odette;Lippens
721;M;19;20041216;France;Hesperange;Canton Luxembourg;9654.0;200412164856*;black;brown;short;Alfred;Germain
722;F;56;19670106;Luxembourg;Rumelange;Canton Esch;7404.0;196701063666*;white;gray;long;Griet;Cornelis
723;M;45;19780909;Belgium;Dudelange;Canton Esch;2453.0;197809097314*;white;gray;short;Kevin;De Wulf
724;M;27;19960920;Luxembourg;Mersch;Canton Mersch;17055.0;199609202517*;white;blond;short;Yves;Faivre
725;M;58;19650416;Luxembourg;Dudelange;Canton Esch;1953.0;196504165380*;white;gray;short;Richard;Thibault
726;M;47;19760425;France;Mondercange;Canton Esch;7080.0;197604258771*;white;gray;medium;Richard;Leroy
727;F;27;19960528;Portugal;Contern;Canton Luxembourg;4208.0;199605281662*;white;blond;short;Emília;Faria
728;M;30;19930305;France;Differdange;Canton Esch;2468.0;199303056831*;black;red;long;Charles;Weber
729;M;40;19831024;Portugal;Schengen;Canton Remich;8539.0;198310249709*;white;gray;medium;Marcos;Paiva
730;F;55;19680413;Luxembourg;Dudelange;Canton Esch;1453.0;196804139444*;white;black;long;Claude;Tessier
731;F;81;19421207;Portugal;Hesperange;Canton Luxembourg;0.0;194212074046*;white;gray;medium;Juliana;Marques
732;M;19;20040503;Luxembourg;Sanem;Canton Esch;3142.0;200405036666*;black;black;long;Denis;Lamy
733;M;32;19911024;Luxembourg;Troisvierges;Canton Clervaux;3332.0;199110248282*;white;blond;medium;René;Bertin
734;M;77;19461201;Luxembourg;Remich;Canton Remich;0.0;194612018787*;white;gray;short;Adrien;Guillou
735;F;27;19961214;Luxembourg;Steinfort;Canton Capellen;3157.0;199612146934*;black;black;short;Maria;Vidal
736;F;35;19880708;Portugal;Mamer;Canton Capellen;2201.0;198807081974*;white;black;short;Salomé;Pereira
737;F;46;19770823;Spain;Lac de la Haute-Sûre;Canton Wiltz;2042.0;197708233879*;white;blond;medium;Inmaculada;Pol
738;F;39;19840731;Luxembourg;Esch-sur-Alzette;Canton Esch;5303.0;198407313755*;white;black;long;Charlotte;Lenaerts
739;F;80;19431229;Luxembourg;Hesperange;Canton Luxembourg;0.0;194312296203*;white;gray;short;Kelly;Chevallier
740;M;39;19840314;Belgium;Colmar-Berg;Canton Mersch;2224.0;198403145403*;white;red;long;Victor;De Smedt
741;F;25;19980225;Luxembourg;Dudelange;Canton Esch;3953.0;199802257406*;white;black;short;Anne;Loiseau
742;F;34;19890101;Luxembourg;Wormeldange;Canton Grevenmacher;6822.0;198901017397*;white;black;medium;Noémi;Duval
743;M;86;19370102;Luxembourg;Bettendorf;Canton Diekirch;0.0;193701029251*;white;gray;long;Christophe;Sterckx
744;M;40;19830729;Luxembourg;Esch-sur-Alzette;Canton Esch;4303.0;198307293020*;white;brown;short;Koen;Wouters
745;M;31;19920202;Luxembourg;Contern;Canton Luxembourg;4708.0;199202021081*;white;red;long;Marc;Bernard
746;M;49;19740121;Luxembourg;Biwer;Canton Grevenmacher;1484.0;197401213708*;white;black;short;André;Polfliet
747;F;28;19951229;Luxembourg;Mondercange;Canton Esch;3580.0;199512293441*;black;brown;short;Maggie;De Ridder
748;F;22;20010905;Luxembourg;Troisvierges;Canton Clervaux;2832.0;200109050776*;white;red;short;Hanne;Godard
749;M;43;19800829;Luxembourg;Mamer;Canton Capellen;3201.0;198008298216*;white;brown;medium;Xavier;Perez
750;M;34;19890603;Portugal;Luxembourg;Canton Luxembourg;19460.0;198906032124*;white;black;short;Alexandre;Pinho
751;F;36;19871214;Luxembourg;Parc Hosingen;Canton Clervaux;2585.0;198712149244*;white;brown;long;Susanne;Albert
752;M;80;19431124;Poland;Luxembourg;Canton Luxembourg;0.0;194311249012*;white;gray;medium;Tymoteusz;Subocz
753;F;27;19960428;Luxembourg;Luxembourg;Canton Luxembourg;8960.0;199604289395*;white;red;short;Viviane;Maes
754;F;26;19971112;Luxembourg;Wincrange;Canton Clervaux;4032.0;199711127397*;latino;black;short;Maggie;Bauwens
755;M;67;19561112;Luxembourg;Berdorf;Canton Echternach;0.0;195611127634*;latino;black;medium;Erwin;Julien
756;F;20;20030110;Portugal;Luxembourg;Canton Luxembourg;3460.0;200301106041*;white;red;medium;Violeta;Valente
757;F;73;19500404;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195004041801*;white;gray;short;Martine;Devaux
758;F;75;19481102;Portugal;Ell;Canton Redange;0.0;194811024479*;white;gray;medium;Valentina;Magalhães
759;F;43;19800820;France;Luxembourg;Canton Luxembourg;960.0;198008203659*;black;black;medium;Marcelle;Benard
760;M;30;19930725;United States of Ameria;Luxembourg;Canton Luxembourg;9960.0;199307255831*;black;black;long;James;Bridges
761;M;39;19841225;Portugal;Leudelange;Canton Esch;20483.0;198412253239*;white;brown;medium;Francisco;Ramos
762;M;27;19960116;Luxembourg;Troisvierges;Canton Clervaux;832.0;199601167007*;white;brown;long;Xander;Singh
763;M;33;19900807;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;199008070361*;white;gray;short;Mathieu;Alexandre
764;M;37;19860817;Luxembourg;Niederanven;Canton Luxembourg;45955.0;198608178959*;latino;gray;medium;Serge;Vos
765;F;32;19911014;France;Kayl;Canton Esch;2616.0;199110141478*;white;gray;short;Audrey;Alves
766;F;33;19900909;Turkey;Differdange;Canton Esch;6468.0;199009091205*;turkish;black;short;Simten;Bilir
767;F;18;20050615;Portugal;Mondorf-les-Bains;Canton Remich;3384.0;200506157022*;white;black;long;Pilar;Morais
768;F;79;19440829;Luxembourg;Schengen;Canton Remich;0.0;194408295728*;white;black;short;Renée;Boucher
769;F;46;19770616;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;197706161236*;black;black;short;Stéphanie;Merle
770;F;46;19771006;Luxembourg;Kehlen;Canton Capellen;5707.0;197710066123*;white;brown;long;Sophie;Buyse
771;F;40;19831027;Belgium;Junglinster;Canton Grevenmacher;2744.0;198310275340*;white;black;medium;Monika;Vermeire
772;F;41;19820417;Luxembourg;Remich;Canton Remich;4788.0;198204178884*;white;red;long;Susan;Barbier
773;M;22;20010210;Ireland;Erpeldange-sur-Sûre;Canton Diekirch;6645.0;200102105354*;white;black;medium;Darrell;Barrnette
774;M;58;19650424;Luxembourg;Roeser;Canton Esch;4132.0;196504246644*;black;gray;long;Patrick;Le Gall
775;F;56;19670112;Luxembourg;Dudelange;Canton Esch;6453.0;196701127981*;white;black;medium;Merel;Martin
776;F;21;20020725;Luxembourg;Mamer;Canton Capellen;6701.0;200207256524*;black;black;short;Josephina;Blanchard
777;M;66;19570505;Belgium;Frisange;Canton Esch;0.0;195705059390*;white;blond;medium;Marc;De Maeyer
778;F;55;19680131;Luxembourg;Betzdorf;Canton Grevenmacher;4625.0;196801318519*;white;black;long;Elisabeth;Fontaine
779;M;56;19671026;Luxembourg;Bettembourg;Canton Esch;7596.0;196710264055*;black;gray;short;Guido;Slegers
780;M;46;19771109;Luxembourg;Sanem;Canton Esch;2642.0;197711091910*;white;black;long;Pieter;Lenaerts
781;M;43;19800104;Turkey;Steinfort;Canton Capellen;5157.0;198001045737*;turkish;red;medium;Aykutalp;Akça
782;F;40;19831116;Luxembourg;Lenningen;Canton Remich;5068.0;198311167597*;white;red;short;Suzanne;Nguyen
783;F;60;19630818;Luxembourg;Pétange;Canton Esch;2028.0;196308189269*;white;brown;short;Petra;Van den Eynde
784;F;44;19790209;Luxembourg;Dudelange;Canton Esch;4453.0;197902091618*;white;brown;short;Henriette;Gauthier
785;M;38;19851201;Luxembourg;Käerjeng;Canton Capellen;1641.0;198512018506*;white;black;long;Grégoire;Simoens
786;M;36;19871213;Luxembourg;Dudelange;Canton Esch;1953.0;198712137061*;latino;black;short;Emmanuel;Laureys
787;M;41;19820227;Netherlands;Wincrange;Canton Clervaux;5032.0;198202274072*;white;gray;short;Ian;Middelkoop
788;M;27;19960510;Luxembourg;Pétange;Canton Esch;1028.0;199605106317*;white;brown;short;Benoît;Meyer
789;M;37;19860830;Portugal;Hesperange;Canton Luxembourg;2654.0;198608307381*;white;red;short;Emanuel;Baptista
790;M;18;20050117;Luxembourg;Luxembourg;Canton Luxembourg;5460.0;200501172566*;white;brown;long;Bryan;Dumont
791;M;61;19620613;Luxembourg;Dudelange;Canton Esch;8953.0;196206137161*;white;blond;short;Ruben;Cornelis
792;M;36;19870124;Luxembourg;Useldange;Canton Redange;3396.0;198701241079*;white;black;medium;Théodore;Debruyne
793;F;29;19940423;Luxembourg;Mondercange;Canton Esch;8580.0;199404236973*;white;black;medium;Aurélie;Courtois
794;M;56;19670109;Portugal;Bettendorf;Canton Diekirch;7138.0;196701097591*;white;black;medium;Tiago;Costa
795;M;27;19961017;Netherlands;Dudelange;Canton Esch;3953.0;199610178598*;white;gray;short;Robin;Kosten
796;M;26;19970525;France;Erpeldange-sur-Sûre;Canton Diekirch;6645.0;199705258613*;black;black;long;Louis;Besson
797;F;34;19890329;Luxembourg;Hesperange;Canton Luxembourg;6154.0;198903294539*;white;brown;medium;Amy;Lemmens
798;F;55;19680501;Germany;Préizerdaul;Canton Redange;4365.0;196805010262*;white;brown;long;Wally;Krein
799;M;19;20040918;Portugal;Käerjeng;Canton Capellen;8641.0;200409183544*;white;blond;medium;Gil;Loureiro
800;M;49;19740510;Luxembourg;Luxembourg;Canton Luxembourg;7460.0;197405102418*;black;black;medium;Joost;Chrétien
801;M;42;19810922;Italy;Luxembourg;Canton Luxembourg;8960.0;198109223788*;white;black;long;Coriolano;Morellato
802;M;44;19791213;Luxembourg;Kopstal;Canton Capellen;34392.0;197912137731*;white;black;short;Léon;Verbruggen
803;F;59;19641018;Luxembourg;Redange-sur-Attert;Canton Redange;Nan;196410188367*;black;black;short;Caroline;Verdier
804;M;23;20000216;Bosnia and Herzegovina;Strassen;Canton Luxembourg;8587.0;200002165031*;white;red;short;Artur;Beranová
805;M;29;19940314;Italy;Stadtbredimus;Canton Remich;1568.0;199403146705*;white;brown;short;Alfredo;Piccio
806;F;29;19941123;Portugal;Kehlen;Canton Capellen;5207.0;199411233520*;white;black;long;Raquel;Borges
807;F;40;19830409;France;Sandweiler;Canton Luxembourg;23583.0;198304099215*;white;black;long;Anouk;Munoz
808;M;81;19420804;Luxembourg;Dudelange;Canton Esch;0.0;194208046738*;white;gray;medium;Laurent;Mortier
809;F;34;19890619;Luxembourg;Junglinster;Canton Grevenmacher;4744.0;198906195718*;white;black;medium;Christine;Cordier
810;F;31;19921012;Luxembourg;Hesperange;Canton Luxembourg;10154.0;199210121131*;white;gray;short;Véronique;Masson
811;F;52;19710730;United Kingdom;Luxembourg;Canton Luxembourg;7460.0;197107309510*;asian;brown;medium;Stephanie;Mann
812;F;79;19441104;Luxembourg;Kopstal;Canton Capellen;0.0;194411049712*;white;gray;long;Nathalie;Martel
813;F;54;19690202;Luxembourg;Luxembourg;Canton Luxembourg;9960.0;196902025894*;white;black;short;Élodie;Le Gall
814;F;61;19621023;Luxembourg;Rumelange;Canton Esch;7404.0;196210236146*;white;brown;medium;Greet;Lemmens
815;M;63;19600730;Luxembourg;Differdange;Canton Esch;4468.0;196007309857*;white;gray;long;Adrien;Bouchet
816;M;55;19680112;Luxembourg;Pétange;Canton Esch;3528.0;196801124391*;white;blond;long;Gilles;Charles
817;F;37;19860510;Luxembourg;Beaufort;Canton Echternach;6082.0;198605101106*;white;black;long;Nadia;Munoz
818;F;44;19790802;Luxembourg;Esch-sur-Alzette;Canton Esch;4303.0;197908026540*;white;black;medium;Constance;Poulain
819;M;51;19720218;Luxembourg;Luxembourg;Canton Luxembourg;4960.0;197202181887*;white;black;short;Johan;Dupont
820;F;56;19670922;France;Bettembourg;Canton Esch;5096.0;196709228053*;white;black;long;Diane;Imbert
821;M;37;19860528;Luxembourg;Differdange;Canton Esch;5468.0;198605280431*;black;black;short;Guillaume;Goossens
822;M;77;19460615;Luxembourg;Wiltz;Canton Wiltz;0.0;194606153245*;latino;gray;medium;Arthur;Bousquet
823;M;32;19911026;Luxembourg;Steinsel;Canton Luxembourg;13060.0;199110262361*;white;blond;short;Daan;Marion
824;F;28;19950218;Luxembourg;Mondercange;Canton Esch;3580.0;199502187889*;white;gray;long;Marguerite;Everaert
825;M;62;19610729;Luxembourg;Differdange;Canton Esch;3968.0;196107298770*;white;black;short;Dennis;Le Roux
826;F;79;19440706;India;Echternach;Canton Echternach;0.0;194407060128*;south asians;gray;short;Farhan;Bose
827;F;58;19651025;Portugal;Diekirch;Canton Diekirch;5390.0;196510252931*;white;gray;short;Ana;Baptista
828;F;24;19990722;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;199907221017*;white;red;long;Dominique;Thibault
829;M;53;19700831;Luxembourg;Koerich;Canton Capellen;9684.0;197008319858*;white;black;long;Abdul;Deckers
830;M;63;19600924;France;Dudelange;Canton Esch;953.0;196009242766*;white;blond;medium;Auguste;Costa
831;F;53;19701225;Luxembourg;Lorentzweiler;Canton Mersch;3226.0;197012256721*;white;brown;short;Margaret;Nicolas
832;F;36;19871213;Luxembourg;Manternach;Canton Grevenmacher;10380.0;198712131088*;black;black;short;Amélie;Coene
833;M;30;19931208;France;Luxembourg;Canton Luxembourg;11460.0;199312083686*;white;gray;long;Jules;Delannoy
834;M;46;19770717;Belgium;Echternach;Canton Echternach;1223.0;197707177248*;white;brown;short;Mohamed;De Meester
835;F;45;19780417;Luxembourg;Dippach;Canton Capellen;5666.0;197804176207*;white;red;long;Alex;Leduc
836;M;46;19770224;France;Bettembourg;Canton Esch;16096.0;197702246012*;white;black;medium;Olivier;Marchal
837;F;62;19610903;Luxembourg;Bertrange;Canton Luxembourg;3087.0;196109034634*;black;black;short;Claire;Blondel
838;F;70;19530205;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195302050225*;white;gray;short;Anneleen;Maes
839;F;35;19880601;France;Dippach;Canton Capellen;5666.0;198806017596*;white;gray;medium;Élisabeth;Langlois
840;F;27;19960620;Luxembourg;Kayl;Canton Esch;2616.0;199606206118*;black;brown;medium;Philippine;Diaz
841;F;58;19651129;Luxembourg;Niederanven;Canton Luxembourg;18455.0;196511298876*;white;gray;medium;Christine;Masse
842;F;43;19800703;Luxembourg;Lintgen;Canton Mersch;8616.0;198007038332*;latino;black;medium;Laure;Gautier
843;F;65;19581127;Luxembourg;Hesperange;Canton Luxembourg;0.0;195811270342*;white;gray;medium;Anouk;De Maeyer
844;F;46;19771030;Luxembourg;Hesperange;Canton Luxembourg;5654.0;197710304920*;white;gray;medium;Alix;De Clercq
845;M;73;19501125;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195011251744*;white;gray;medium;Ruben;Vlaeminck
846;F;28;19951025;Portugal;Luxembourg;Canton Luxembourg;5960.0;199510253239*;white;red;short;Caetana;Batista
847;M;61;19620105;Luxembourg;Esch-sur-Alzette;Canton Esch;3303.0;196201054106*;white;black;medium;Julien;Roche
848;F;44;19791101;Luxembourg;Vianden;Canton Vianden;3539.0;197911012942*;white;black;long;Johanna;Dumont
849;F;73;19501005;Luxembourg;Dudelange;Canton Esch;0.0;195010058547*;white;black;short;Pénélope;Beernaert
850;F;48;19750603;France;Biwer;Canton Grevenmacher;1984.0;197506039864*;white;blond;medium;Hélène;Salmon
851;F;64;19590501;Luxembourg;Dudelange;Canton Esch;2953.0;195905017563*;white;blond;short;Adélaïde;Geerts
852;F;54;19690518;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;196905181358*;white;blond;medium;Margaret;Lopez
853;F;57;19660227;Luxembourg;Junglinster;Canton Grevenmacher;20744.0;196602277031*;white;gray;short;Alexandrie;Maes
854;M;33;19900603;France;Käerjeng;Canton Capellen;1641.0;199006038464*;white;red;short;Raymond;Pottier
855;M;39;19840929;Romania;Luxembourg;Canton Luxembourg;6460.0;198409295377*;white;blond;medium;Severin;Cristea
856;F;48;19750708;Luxembourg;Pétange;Canton Esch;2528.0;197507085573*;black;brown;medium;Arnaude;Janssens
857;F;59;19640604;Luxembourg;Sanem;Canton Esch;5142.0;196406048330*;white;brown;medium;Melissa;Lévy
858;M;89;19341203;Luxembourg;Grevenmacher;Canton Grevenmacher;0.0;193412032851*;latino;gray;long;Olivier;Bogaert
859;M;66;19570826;Luxembourg;Dudelange;Canton Esch;0.0;195708265606*;white;gray;long;Erik;Wouters
860;F;78;19450903;Luxembourg;Echternach;Canton Echternach;0.0;194509031020*;white;gray;medium;Adèle;Claes
861;M;31;19921211;Italy;Luxembourg;Canton Luxembourg;1960.0;199212112256*;white;blond;long;Hugo;Agnesi
862;F;47;19760118;Portugal;Redange-sur-Attert;Canton Redange;Nan;197601180697*;white;red;short;Renata;Carneiro
863;F;66;19570107;Belgium;Kayl;Canton Esch;0.0;195701070261*;white;black;long;Tamara;Lambrechts
864;M;49;19740613;Luxembourg;Schengen;Canton Remich;2039.0;197406138265*;white;black;long;Youssef;Fleury
865;M;54;19690630;Luxembourg;Schuttrange;Canton Luxembourg;14544.0;196906305457*;white;gray;short;Ruben;Alexandre
866;F;69;19540423;Luxembourg;Niederanven;Canton Luxembourg;0.0;195404233634*;latino;gray;medium;Liesbet;Willems
867;M;50;19730907;Portugal;Sanem;Canton Esch;3142.0;197309079979*;white;gray;short;Ricardo;Esteves
868;M;55;19681122;Luxembourg;Junglinster;Canton Grevenmacher;12244.0;196811229230*;white;gray;long;Édouard;Lemonnier
869;F;85;19381017;India;Bissen;Canton Mersch;0.0;193810176434*;south asians;gray;medium;Divit;Basu
870;F;31;19920816;Luxembourg;Esch-sur-Alzette;Canton Esch;4303.0;199208165064*;white;black;short;Claude;Chauvin
871;F;41;19820720;Portugal;Käerjeng;Canton Capellen;9641.0;198207207004*;white;black;short;Renata;Pinho
872;F;77;19460103;France;Strassen;Canton Luxembourg;0.0;194601033372*;white;gray;short;Christelle;Caron
873;M;23;20000513;Luxembourg;Mamer;Canton Capellen;8201.0;200005136288*;white;red;long;Joseph;Maes
874;F;41;19820830;Luxembourg;Differdange;Canton Esch;1468.0;198208309455*;white;black;long;Édith;Dejonghe
875;F;26;19970927;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;199709273504*;black;gray;medium;Gabrielle;Pascal
876;M;72;19510305;Luxembourg;Beaufort;Canton Echternach;0.0;195103051686*;latino;gray;medium;Jarne;Govaerts
877;F;93;19300609;Luxembourg;Biwer;Canton Grevenmacher;0.0;193006093021*;latino;black;long;Britt;Janssens
878;F;59;19640703;Luxembourg;Pétange;Canton Esch;3028.0;196407033644*;white;brown;short;Zoé;Guérin
879;M;59;19641002;Portugal;Esch-sur-Alzette;Canton Esch;4303.0;196410027614*;white;blond;medium;Sandro;Ribeiro
880;M;59;19640505;France;Bous;Canton Remich;3137.0;196405057383*;white;black;long;Noël;Gallet
881;M;44;19790113;Luxembourg;Esch-sur-Alzette;Canton Esch;3803.0;197901132508*;black;blond;short;Danny;Peron
882;F;62;19611115;Luxembourg;Mamer;Canton Capellen;7201.0;196111153263*;white;brown;long;Valentine;Maillard
883;F;26;19970705;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;199707050493*;white;black;long;Émilie;Debruyne
884;F;36;19870320;Portugal;Niederanven;Canton Luxembourg;21455.0;198703200833*;white;blond;medium;Mara;Correia
885;F;38;19851212;Belgium;Esch-sur-Sûre;Canton Wiltz;2524.0;198512128916*;white;black;medium;Annelies;Verhulst
886;F;54;19690526;Luxembourg;Stadtbredimus;Canton Remich;5068.0;196905260140*;white;brown;long;Émilie;Alves
887;F;27;19960910;Portugal;Käerjeng;Canton Capellen;7141.0;199609101398*;white;black;long;Gabriela;Lima
888;F;32;19910516;Italy;Parc Hosingen;Canton Clervaux;6085.0;199105163577*;white;black;medium;Annalisa;Calbo
889;F;26;19970511;Spain;Biwer;Canton Grevenmacher;7484.0;199705113647*;white;black;medium;Mar;Narváez
890;M;54;19690503;Luxembourg;Mersch;Canton Mersch;1555.0;196905039106*;black;brown;medium;Bart;Maes
891;M;62;19611205;Luxembourg;Rosport-Mompach;Canton Echternach;7096.0;196112059378*;white;blond;long;Olivier;Segers
892;M;76;19471130;Luxembourg;Schifflange;Canton Esch;0.0;194711305260*;white;gray;short;Maxim;Heylen
893;F;75;19480715;Luxembourg;Schuttrange;Canton Luxembourg;0.0;194807151833*;white;gray;short;Jade;Goossens
894;F;36;19870815;Luxembourg;Differdange;Canton Esch;1968.0;198708158540*;black;red;short;Agnes;Barbier
895;M;22;20010507;Luxembourg;Vianden;Canton Vianden;4039.0;200105075086*;white;brown;short;Pierre;Vermeulen
896;M;57;19660324;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;196603246385*;white;gray;short;Kurt;Toussaint
897;F;47;19760724;Luxembourg;Lorentzweiler;Canton Mersch;4726.0;197607248259*;white;brown;long;Simone;Degryse
898;M;61;19620331;Italy;Grevenmacher;Canton Grevenmacher;861.0;196203311026*;white;black;long;Ciro;Mimun
899;F;26;19971117;Luxembourg;Garnich;Canton Capellen;3743.0;199711177308*;white;black;long;Geneviève;De Wit
900;M;22;20011003;Luxembourg;Sanem;Canton Esch;2142.0;200110033848*;latino;blond;medium;Olivier;Hernandez
901;F;92;19320101;Luxembourg;Feulen;Canton Diekirch;0.0;193201019152*;white;gray;short;Annie;Put
902;M;50;19731114;Luxembourg;Schengen;Canton Remich;5539.0;197311148503*;latino;red;long;René;De Backer
903;M;46;19770425;France;Sandweiler;Canton Luxembourg;6083.0;197704254492*;black;red;medium;Nicolas;Monnier
904;M;77;19460318;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194603186094*;white;gray;long;Nicky;Schmitt
905;M;58;19650423;Portugal;Mondercange;Canton Esch;4080.0;196504232493*;white;blond;medium;André;Almeida
906;M;35;19880117;Luxembourg;Frisange;Canton Esch;12128.0;198801172259*;white;gray;long;Antoine;Dufour
907;F;35;19880123;United States of Ameria;Hesperange;Canton Luxembourg;1154.0;198801230612*;latino;blond;short;Anne;Wang
908;M;76;19470927;Belgium;Contern;Canton Luxembourg;0.0;194709270820*;white;black;short;Rafael;Hendrickx
909;F;41;19821110;Portugal;Ettelbruck;Canton Diekirch;2362.0;198211101689*;white;blond;long;Leonor;Amorim
910;F;23;20001006;Luxembourg;Helperknapp;Canton Mersch;2917.0;200010065538*;white;black;medium;Geneviève;Joos
911;F;70;19530715;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195307154919*;white;gray;long;Hannah;Decoster
912;F;36;19870226;Luxembourg;Strassen;Canton Luxembourg;2587.0;198702268411*;white;gray;medium;Zoé;Leemans
913;M;47;19760912;Luxembourg;Kehlen;Canton Capellen;23207.0;197609122821*;black;gray;long;Willem;Charrier
914;F;60;19630129;Luxembourg;Wincrange;Canton Clervaux;2032.0;196301296610*;black;gray;medium;Noa;Huybrechts
915;M;23;20001231;Luxembourg;Sanem;Canton Esch;5142.0;200012315028*;white;brown;long;Gabriel;Hendrickx
916;F;70;19530902;Luxembourg;Leudelange;Canton Esch;0.0;195309026473*;latino;gray;short;Antoinette;Legros
917;F;20;20030526;Belgium;Luxembourg;Canton Luxembourg;1460.0;200305267724*;white;brown;medium;Marie;Leysen
918;F;31;19921209;France;Mersch;Canton Mersch;11555.0;199212094404*;white;brown;long;Diane;Lemaître
919;F;18;20050814;Luxembourg;Pétange;Canton Esch;3028.0;200508142595*;latino;black;medium;Maria;De Bruyne
920;M;32;19910407;Luxembourg;Pétange;Canton Esch;8028.0;199104078811*;white;brown;short;Tom;Roose
921;M;65;19581209;France;Vallée de l'Ernz;Canton Diekirch;0.0;195812094823*;black;gray;medium;Maurice;David
922;M;80;19430220;Poland;Mondercange;Canton Esch;0.0;194302204011*;white;gray;short;Albert;Kosidło
923;F;53;19700216;Luxembourg;Schifflange;Canton Esch;3042.0;197002161233*;white;black;short;Clémence;Moens
924;M;49;19740913;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;197409136757*;latino;black;medium;Bernard;Didier
925;M;46;19770826;Portugal;Lac de la Haute-Sûre;Canton Wiltz;2542.0;197708269394*;white;blond;medium;Vicente;Henriques
926;F;21;20020512;France;Esch-sur-Alzette;Canton Esch;7803.0;200205126870*;black;brown;medium;Marthe;Baron
927;M;53;19700906;Luxembourg;Wormeldange;Canton Grevenmacher;822.0;197009065251*;black;gray;long;Jason;Delorme
928;F;30;19930809;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;199308090627*;white;black;short;Pascale;Guillon
929;M;46;19771025;Luxembourg;Steinfort;Canton Capellen;6157.0;197710254344*;latino;black;medium;André;Cornelis
930;F;49;19741007;Luxembourg;Ettelbruck;Canton Diekirch;4862.0;197410073446*;white;brown;medium;Anneleen;Pascal
931;M;22;20011109;Germany;Beckerich;Canton Redange;8632.0;200111090575*;white;brown;medium;Anatoli;Zimmer
932;M;34;19890330;Portugal;Flaxweiler;Canton Grevenmacher;8266.0;198903306225*;white;black;medium;Fábio;Brito
933;M;56;19670926;Italy;Wiltz;Canton Wiltz;4333.0;196709263358*;white;blond;long;Gianfrancesco;Bompiani
934;M;42;19811226;Luxembourg;Troisvierges;Canton Clervaux;832.0;198112266506*;white;black;long;Théodore;Maréchal
935;F;36;19870328;Portugal;Echternach;Canton Echternach;723.0;198703285084*;white;blond;short;Camila;Pinto
936;M;20;20031206;Luxembourg;Hesperange;Canton Luxembourg;6154.0;200312066245*;white;blond;medium;Andreas;Gonzalez
937;M;47;19760108;Luxembourg;Junglinster;Canton Grevenmacher;2244.0;197601080854*;black;black;medium;Jérôme;Dupuy
938;F;35;19880508;Luxembourg;Wormeldange;Canton Grevenmacher;4322.0;198805089781*;white;black;long;Dorothée;De Bruyn
939;M;38;19850909;Luxembourg;Differdange;Canton Esch;2468.0;198509096970*;black;brown;medium;Kim;Decoster
940;M;38;19851114;Luxembourg;Bissen;Canton Mersch;2555.0;198511144206*;white;black;medium;Thierry;Peeters
941;F;25;19980817;Portugal;Beckerich;Canton Redange;4132.0;199808175817*;white;brown;medium;Beatriz;Fernandes
942;F;55;19680214;Portugal;Esch-sur-Alzette;Canton Esch;1803.0;196802149650*;white;black;medium;Nicole;Barros
